sf_ind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
coeff_ind,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0000,1550,336,365,1861,1539,355,394,1812,1563,302,396,1821,1626,337,377,1827,1547,384,428,1851,1645,340,446,1865,1571,412,466,1830,1592,419,540,1866,1547,437,613,1842,1602,466,637,1865,1552,548,698,1875,1609,575,723,1923,1606,631,814,1864,1640,739,950,1873,1661,749,994,1877,1655,881,1165,1840,1700,1054,1248,1955,1649,1183,1365,1934,1733,1328,1482,1842,1755,1548,1748,1917
0001,327,1775,1542,255,286,1772,1523,253,267,1791,1494,243,327,1694,1510,253,287,1710,1473,272,288,1716,1424,241,296,1691,1353,225,300,1742,1404,240,262,1642,1360,268,335,1557,1294,232,277,1480,1151,244,304,1494,1125,238,311,1454,1076,229,290,1412,965,231,277,1296,858,193,244,1183,830,225,267,1061,678,226,255,933,514,225,240,739,408,184,221,510,287,201
0010,281,1499,1811,274,314,1534,1763,307,299,1494,1751,310,292,1539,1677,281,271,1473,1718,298,274,1523,1667,284,314,1453,1662,278,273,1458,1545,266,307,1469,1531,245,283,1461,1504,269,300,1380,1449,273,267,1279,1370,259,232,1236,1289,238,257,1093,1154,251,245,1119,1100,226,265,984,961,234,251,910,878,247,270,744,680,210,209,588,575,213,229,400,353,174
0011,1694,252,204,1513,1668,248,192,1513,1690,237,232,1538,1655,229,264,1449,1743,216,238,1494,1633,253,344,1430,1684,251,326,1535,1716,277,367,1497,1709,298,419,1472,1618,328,459,1439,1687,418,551,1449,1690,474,598,1516,1713,529,684,1485,1746,595,739,1464,1689,612,872,1577,1746,733,968,1555,1660,890,1053,1422,1680,996,1235,1503,1587,1169,1356,1573,1641,1403,1495,1574
0100,28,55,68,22,14,57,80,29,23,57,78,25,30,62,84,34,27,64,89,28,21,72,81,35,27,59,71,29,21,77,75,34,29,65,85,43,35,58,74,38,27,89,79,41,26,80,78,62,32,71,81,55,47,61,68,67,44,74,92,50,52,82,86,60,51,70,90,71,61,81,91,66,60,76,78,70,75,65,79,90
0101,66,31,18,73,75,28,23,57,75,28,21,51,83,26,23,77,81,28,16,52,82,32,26,60,81,29,30,73,79,31,18,45,65,34,20,61,68,25,21,55,75,14,19,50,65,22,20,53,64,28,17,37,55,23,17,49,53,25,17,28,44,22,18,35,42,17,19,22,46,11,15,14,34,10,13,12,14,13,8,13
0110,62,19,18,79,53,29,27,88,71,24,33,82,63,29,27,74,58,20,19,52,76,30,23,65,55,30,34,83,74,28,19,59,54,24,19,62,58,24,26,66,46,21,15,61,54,22,22,54,43,18,22,62,52,17,22,54,48,23,20,48,46,17,19,40,35,17,13,43,37,12,12,26,20,17,10,28,30,12,11,17
0111,27,83,47,30,20,71,57,26,26,62,42,21,20,69,53,19,24,87,59,27,16,77,51,26,29,87,56,29,30,68,68,37,17,81,57,36,21,77,52,18,41,86,51,30,31,57,57,41,39,83,63,51,37,100,71,43,44,84,65,49,51,75,64,54,39,69,81,82,70,74,53,67,58,81,67,81,64,83,84,70
